IBBR - Carteira do Dia 19/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,003;2,003;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;1,610;1,735;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,125;1,735;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,443;1,016;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,573;1,016;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,841;2,278;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,382;2,278;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,055;2,278;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,839;1,839;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,303;0,303;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,229;0,229;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,117;0,117;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,105;0,682;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,046;0,682;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,435;0,682;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,096;0,682;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,089;0,089;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,149;0,604;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,204;0,604;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,036;0,604;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,132;0,604;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON  ATZ NM;374.670.758;0,083;0,604;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,252;0,252;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,151;1,576;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,258;1,576;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,046;1,576;
Diversos;VAMO3;VAMOS;ON  ES  NM;448.052.066;0,046;1,576;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,075;1,576;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,405;0,857;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,166;0,857;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,286;0,857;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,285;2,285;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,689;14,994;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,778;14,994;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,943;14,994;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,273;14,994;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,394;14,994;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5.350.259.376;6,605;14,994;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,312;14,994;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,621;1,321;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,316;1,321;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,132;1,321;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,252;1,321;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,597;2,597;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,435;1,425;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;0,990;1,425;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,161;10,003;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,231;10,003;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,611;10,003;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,092;0,092;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN  ED  N1;1.263.524.206;0,642;1,011;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN  ED  N1;622.977.444;0,144;1,011;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,128;1,011;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,097;1,011;
N Classificados / N Classificados;MELI34;MERCADOLIBRE;DRN;4.381.629.522;9,431;19,666;
N Classificados / N Classificados;ROXO34;NU HOLDINGS;DRN;22.937.850.000;8,244;19,666;
N Classificados / N Classificados;PAGS34;PAGSEGURO;DRN;926.090.000;0,272;19,666;
N Classificados / N Classificados;STOC34;STONE CO;DRN;254.617.000;0,539;19,666;
N Classificados / N Classificados;XPBR31;XP INC;DR1;415.457.000;1,180;19,666;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,247;15,255;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,273;15,255;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;5,244;15,255;
