IBBR - Carteira do Dia 18/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;1,991;1,991;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;1,603;1,729;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,126;1,729;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,441;1,019;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,578;1,019;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,888;2,313;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,369;2,313;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,056;2,313;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,861;1,861;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,309;0,309;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,228;0,228;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,118;0,118;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,108;0,686;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,047;0,686;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,433;0,686;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,098;0,686;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,090;0,090;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,152;0,607;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,203;0,607;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,037;0,607;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,132;0,607;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON  ATZ NM;374.670.758;0,083;0,607;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,254;0,254;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,153;1,587;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,264;1,587;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,046;1,587;
Diversos;VAMO3;VAMOS;ON  ES  NM;448.052.066;0,046;1,587;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,078;1,587;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,399;0,850;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,165;0,850;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,286;0,850;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,273;2,273;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,694;15,057;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,791;15,057;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,951;15,057;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,285;15,057;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,395;15,057;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5.350.259.376;6,626;15,057;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,315;15,057;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,624;1,327;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,319;1,327;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,132;1,327;
