IBBR - Carteira do Dia 13/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;1,994;1,994;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,582;1,711;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,129;1,711;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,443;1,032;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,589;1,032;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,891;2,329;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,382;2,329;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,056;2,329;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,871;1,871;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,306;0,306;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,211;0,211;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,114;0,114;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,107;0,690;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,046;0,690;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,434;0,690;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,103;0,690;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,095;0,095;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,154;0,619;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,206;0,619;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,037;0,619;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,133;0,619;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,089;0,619;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,250;0,250;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,157;1,624;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,292;1,624;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,047;1,624;
Diversos;VAMO3;VAMOS;ON  ES  NM;448.052.066;0,049;1,624;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,079;1,624;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,402;0,859;
