IBBR - Carteira do Dia 23/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,027;2,027;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON  ATZ NM;722.766.139;1,555;1,680;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,125;1,680;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,440;1,026;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,586;1,026;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,819;2,245;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON  ATZ NM;767.248.368;0,378;2,245;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,048;2,245;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,839;1,839;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,293;0,293;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,229;0,229;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,120;0,120;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,105;0,679;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,046;0,679;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,435;0,679;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,093;0,679;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,094;0,094;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,142;0,577;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,191;0,577;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,034;0,577;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,130;0,577;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON  ATZ NM;374.670.758;0,080;0,577;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,252;0,252;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,151;1,574;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,255;1,574;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,046;1,574;
Diversos;VAMO3;VAMOS;ON      NM;448.052.066;0,043;1,574;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,079;1,574;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,399;0,846;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,162;0,846;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,285;0,846;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,280;2,280;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,690;14,963;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,783;14,963;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,967;14,963;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,203;14,963;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,396;14,963;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,611;14,963;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,313;14,963;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,625;1,322;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,310;1,322;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,131;1,322;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,256;1,322;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,502;2,502;
