IBBR - Carteira do Dia 16/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,021;2,021;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,571;1,697;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,126;1,697;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,439;1,023;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,584;1,023;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,907;2,345;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,382;2,345;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,056;2,345;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,887;1,887;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,304;0,304;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,214;0,214;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,118;0,118;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,107;0,692;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,045;0,692;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,437;0,692;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,103;0,692;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,091;0,091;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,153;0,603;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,200;0,603;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,036;0,603;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,130;0,603;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,084;0,603;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,250;0,250;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,157;1,581;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,254;1,581;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,046;1,581;
Diversos;VAMO3;VAMOS;ON  ES  NM;448.052.066;0,046;1,581;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,078;1,581;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,397;0,843;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,164;0,843;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,282;0,843;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.853.453.377;2,268;2,268;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.467.570.789;0,709;15,229;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.106.488.516;2,854;15,229;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;1,992;15,229;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,279;15,229;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,396;15,229;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5.350.259.376;6,678;15,229;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,321;15,229;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,636;1,351;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,320;1,351;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,133;1,351;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,262;1,351;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,582;2,582;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,441;1,455;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,014;1,455;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,164;10,236;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,235;10,236;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;9,837;10,236;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.876.767;0,089;0,089;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN  ED  N1;1.263.524.206;0,659;1,026;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN  ED  N1;622.977.444;0,147;1,026;
