IBBR - Carteira do Dia 10/03/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;1,997;1,997;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;1,718;1,851;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,133;1,851;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,454;1,016;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,562;1,016;
Cons N  Básico / Alimentos Processados;JBSS32;JBS N.V.;DR2;814.216.000;1,890;2,337;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,391;2,337;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,056;2,337;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;1,901;1,901;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,319;0,353;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,034;0,353;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,211;0,211;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,107;0,107;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,099;0,662;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;138.420.009;0,045;0,662;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;986.834.705;0,415;0,662;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,103;0,662;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,103;0,103;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;144.815.925;0,149;0,626;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,205;0,626;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,037;0,626;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,142;0,626;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,093;0,626;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,252;0,252;
Diversos;COGN3;COGNA ON;ON      NM;1.810.877.718;0,166;1,636;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,290;1,636;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,047;1,636;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,044;1,636;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,089;1,636;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,415;0,883;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,168;0,883;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,300;0,883;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN  EJ  N1;5.853.453.377;2,271;2,271;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,713;15,309;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;2,882;15,309;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EJ  NM;2.842.496.541;2,026;15,309;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;2,299;15,309;
Financ e Outros / Interms Financs;INBR32;INTER CO;DR2;321.953.000;0,395;15,309;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;6,665;15,309;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,329;15,309;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,606;1,305;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,306;1,305;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,132;1,305;
